Problem: m=45, n=13, k=6, j=5, s=5
Samples: [3, 11, 14, 17, 18, 24, 28, 34, 35, 37, 39, 40, 42]
Results Count: 259
--------------------
220. 14,18,34,35,37,39
221. 14,18,34,35,40,42
222. 14,24,28,34,37,39
223. 14,24,28,35,37,42
224. 14,24,28,35,39,40
225. 14,24,34,35,39,42
226. 14,24,34,37,40,42
227. 14,28,34,35,37,40
228. 14,28,34,39,40,42
229. 14,35,37,39,40,42
230. 17,18,24,28,35,42
231. 17,18,24,28,39,40
232. 17,18,24,34,35,40
233. 17,18,24,34,37,39
234. 17,18,24,37,40,42
235. 17,18,28,34,35,37
236. 17,18,28,34,40,42
237. 17,18,28,37,39,42
238. 17,18,34,35,39,42
239. 17,18,35,37,39,40
240. 17,24,28,34,35,39
241. 17,24,28,34,37,42
242. 17,24,28,35,37,40
243. 17,24,34,39,40,42
244. 17,24,35,37,39,42
245. 17,28,34,37,39,40
246. 17,28,35,39,40,42
247. 17,34,35,37,40,42
248. 18,24,28,34,37,40
249. 18,24,28,34,39,42
250. 18,24,28,35,37,39
251. 18,24,34,35,37,42
252. 18,24,35,39,40,42
253. 18,28,34,35,39,40
254. 18,28,35,37,40,42
255. 18,34,37,39,40,42
256. 24,28,34,35,40,42
257. 24,28,37,39,40,42
258. 24,34,35,37,39,40
259. 28,34,35,37,39,42
